ticket,accuracy_low_model,accuracy_high_model,precision_low_model,precision_high_model,sample_size,p_success_strategy,num_interesting_bets
AES,0.7448717948717949,0.7012820512820512,0.7486979166666666,0.3333333333333333,780,0.0,1
FE,0.8102564102564103,0.8025641025641026,0.813953488372093,0.75,780,0.0,0
ETR,0.8038461538461539,0.8025641025641026,0.808041504539559,0.6666666666666666,780,0.0,0
PEG,0.7948717948717948,0.7961538461538461,0.7963683527885862,0.4375,780,0.42857142857142855,7
EXC,0.732051282051282,0.7589743589743589,0.7439353099730458,0.6666666666666666,780,1.0,1
SRE,0.8012820512820513,0.8128205128205128,0.8051612903225807,0.6,780,0.0,0
D,0.7576923076923077,0.7538461538461538,0.7755681818181818,0.5857142857142857,780,0.0,0
PNW,0.808974358974359,0.7961538461538461,0.8082901554404145,0.7692307692307693,780,0.6,5
LNT,0.7858974358974359,0.7935897435897435,0.7883116883116883,0.6,780,0.0,0
EVRG,0.791025641025641,0.7666666666666667,0.7952443857331571,0.5454545454545454,780,0.0,0
CMS,0.8,0.8205128205128205,0.8054830287206266,0.6428571428571429,780,0.0,0
PPL,0.8282051282051283,0.8192307692307692,0.8311855670103093,0.8,780,1.0,1
AEE,0.7905027932960894,0.8324022346368715,0.7957446808510639,0.5,716,0.0,0
EIX,0.7935897435897435,0.7653846153846153,0.7989556135770235,0.6666666666666666,780,0.0,0
DTE,0.8320512820512821,0.8320512820512821,0.8333333333333334,0.6,780,0.0,0
ES,0.7846153846153846,0.8128205128205128,0.7898832684824902,0.6,780,0.0,1
WEC,0.8019323671497585,0.821256038647343,0.805921052631579,0.5833333333333334,621,0.0,1
ED,0.8397435897435898,0.8243589743589743,0.8463541666666666,0.7272727272727273,780,0.0,0
XEL,0.7987179487179488,0.8166666666666667,0.8105263157894737,0.5909090909090909,780,0.3333333333333333,3
AEP,0.7948717948717948,0.8256410256410256,0.8028720626631853,0.5714285714285714,780,0.0,0
SO,0.7987179487179488,0.8333333333333334,0.8015564202334631,0.7777777777777778,780,0.0,0
DUK,0.8115384615384615,0.791025641025641,0.8153446033810143,0.5,780,0.0,1
NEE,0.7846153846153846,0.7794871794871795,0.785622593068036,0.625,780,0.42857142857142855,7
OKE,0.7538461538461538,0.7256410256410256,0.7581699346405228,0.6111111111111112,780,0.42857142857142855,7
WMB,0.7923076923076923,0.8115384615384615,0.7974025974025974,0.6,780,0.0,0
KMI,0.7858974358974359,0.791025641025641,0.7924281984334204,0.5555555555555556,780,0.0,0
HAL,0.6461538461538462,0.65,0.6484687083888149,0.5909090909090909,780,0.26666666666666666,15
BKR,0.6717948717948717,0.6564102564102564,0.6754617414248021,0.75,780,0.0,0
SLB,0.6756410256410257,0.676923076923077,0.6742934051144011,0.5272727272727272,780,0.05555555555555555,18
PSX,0.6692307692307692,0.7064102564102565,0.6805555555555556,0.6126126126126126,780,0.45098039215686275,51
VLO,0.6551282051282051,0.6346153846153846,0.6564171122994652,0.6153846153846154,780,0.0,0
MPC,0.7128205128205128,0.717948717948718,0.7118863049095607,0.5714285714285714,780,0.5,8
APA,0.5961538461538461,0.5923076923076923,0.581021897810219,0.6216216216216216,780,0.25,16
MRO,0.6282051282051282,0.6576923076923077,0.6258596973865199,0.6710526315789473,780,0.30434782608695654,23
FANG,0.6410256410256411,0.6538461538461539,0.646112600536193,0.7272727272727273,780,0.0,0
CTRA,0.6487179487179487,0.6166666666666667,0.6443768996960486,0.5423728813559322,780,0.14285714285714285,14
